ETH Address,Stake,Tier,Participation
0xaa97...b82d,150,5,1
0x2a07...239e,155,5,1
0x72c7...24c5,500,4,2
0x11c4...9142,500,4,2
0x197c...9ffa,1059,3,4
0xee7c...9990,1004,3,4
0x3d52...0e63,1521,3,6
0x4d70...0853,520,4,2
0x050d...3800,292,5,1
0x9c90...211b,162,5,1
0xdc5d...aefc,1001,3,4
0x5d8a...0b68,217,5,1
0x012d...9ea7,1022,3,4
0x5c24...1d6b,1678,3,6
0xf5d6...610f,1000,3,4
0x7f1d...4b9a,550,4,2
0xc583...5d5c,1008,3,4
0x4e7d...34e0,1000,3,4
0x0f9c...b328,500,4,2
0x04c1...a1aa,586,4,2
0xcc3c...1710,1013,3,4
0x70e3...3ab5,200,5,1
0xd313...51ec,1015,3,4
0x32e9...2017,1103,3,4
0xf320...4bec,1015,3,4
0x4393...1d4e,1000,3,4
0x6437...c60e,1000,3,4
0x7b56...57a2,1011,3,4
0x90a1...0ac8,1000,3,4
0x4717...d944,1002,3,4
0xaa67...c1f0,155,5,1
0x5554...8ea2,636,4,2
0xc6e7...769d,515,4,2
0xe235...0800,500,4,2
0x83fb...4d17,505,4,2
0xe35e...23c2,1000,3,4
0xe6ec...ea5b,500,4,2
0x6632...bc0b,1052,3,4
0xb52c...0c06,200,5,1
0x8cf6...ba5b,500,4,2
0xbf86...74cb,1000,3,4
0x7463...0124,1046,3,4
0xbe43...5e0b,1514,3,6
0xc724...8fc4,150,5,1
0xc5f5...e311,500,4,2
0x8f45...85bb,150,5,1
0xc840...a3d0,1000,3,4
0x725b...924f,1000,3,4
0x0500...b9c4,2265,3,9
0xb8c9...082e,1800,3,7
0x69d5...18eb,1509,3,6
0x6a6e...f147,1005,3,4
0x72c7...24c5,500,4,2
0xdcfa...cae3,507,4,2
0x8771...eb0a,155,5,1
0x0752...c807,501,4,2
0x85b8...c928,1095,3,4
0x7cdd...a398,1000,3,4
0xa1f9...9609,1201,3,4
0xc1d7...5ced,500,4,2
0x7022...6cf6,1000,3,4
0x32b4...3bb1,1000,3,4
0x5f2d...2d55,251,5,1
0xa0ac...013d,500,4,2
0xa417...fb07,678,4,2
0xe55c...ca54,501,4,2
0xa6c9...2165,2302,3,9
0x7775...f052,1004,3,4
0x72ca...6c9a,151,5,1
0x5b0e...744a,151,5,1
0x1e9b...6e66,151,5,1
0x84be...a290,514,4,2
0x580c...b05b,2000,3,8
0x0b44...654e,1006,3,4
0xf621...063d,1016,3,4
0xf4dc...4227,528,4,2
0xfd3b...5f0b,1002,3,4
0xa6c9...2165,2302,3,9
0xc582...c106,1001,3,4
0xfa18...9e26,170,5,1
0x87e9...a142,2162,3,8
0x19c5...22a6,1005,3,4
0xd5f6...737c,150,5,1
0x3958...f104,150,5,1
0xbb2d...5fd4,168,5,1
0xdf59...84e5,150,5,1
0x49cb...d672,3383,3,13
0x9f45...0cba,291,5,1
0xf890...837a,1489,3,5
0x2888...3eda,513,4,2
0xfd46...6a41,1005,3,4
0x1efa...5a3a,150,5,1
0xf18c...e9ff,1003,3,4
0x6b9b...1b58,500,4,2
0x7ef4...5370,1554,3,6
0xc697...5e0e,1007,3,4
0xb4ab...5144,824,4,2
0x967b...8273,151,5,1
0xf0a4...fa37,1222,3,4
0xc74d...77f0,1000,3,4
0x7c11...8a44,1006,3,4
0xa1fb...6492,1015,3,4
0xb335...f021,155,5,1
0x1768...181e,158,5,1
0x5b5d...9c27,513,4,2
0x8f01...d06d,1000,3,4
0xe553...b707,1007,3,4
0xd9c9...67d9,1000,3,4
0x46f3...bbe8,507,4,2
0xa677...bf0d,1000,3,4
0x637c...b7b8,1013,3,4
0x0500...b9c4,2265,3,9
0x470f...8b95,184,5,1
0x70cc...c649,1000,3,4
0x426a...0d36,150,5,1
0x0c96...bada,150,5,1
0xa6ba...57d1,166,5,1
0x87e9...a142,2162,3,8
0x922a...622d,1033,3,4
0x0916...705f,1008,3,4
0x3d39...b57a,436,5,1
0xe553...b707,1007,3,4
0x3146...af50,1272,3,5
0x3af4...d85a,1000,3,4
0x6099...615d,1000,3,4
0x69cb...e3f2,2100,3,8
0x08a3...c1df,2000,3,8
0x2804...ea94,1000,3,4
0xb3b9...802b,1227,3,4
0x50fb...dac3,1237,3,4
0x1ae9...456a,1013,3,4
0x8a8a...c796,1002,3,4
0x22a3...5128,501,4,2
0x9cf9...f358,150,5,1
0xa1fb...6492,1015,3,4
0x45b0...8637,1000,3,4
0xb8d1...87ae,1113,3,4
0xe5c2...4a4c,2056,3,8
0xeffe...6bce,1194,3,4
0x580c...b05b,2000,3,8
0x6f29...28bc,500,4,2
